id,Age
74051,7.268789
74052,7.5550275
74053,9.731544
74054,9.161041
74055,7.3167834
74056,12.406019
74057,10.530525
74058,7.8249693
74059,12.591463
74060,9.482849
74061,12.737346
74062,9.723112
74063,3.8915868
74064,11.540289
74065,5.1586146
74066,6.0718865
74067,10.605331
74068,11.722923
74069,10.124132
74070,10.088853
74071,16.180218
74072,8.81344
74073,8.197241
74074,8.760277
74075,11.391534
74076,9.03957
74077,11.776378
74078,10.702103
74079,8.992186
74080,10.667604
74081,10.321913
74082,10.420733
74083,9.951325
74084,11.833613
74085,10.681954
74086,6.9326377
74087,9.316559
74088,10.7574415
74089,8.33837
74090,9.475984
74091,7.2463927
74092,9.505706
74093,9.9199915
74094,9.6417265
74095,18.288668
74096,10.990513
74097,6.2918115
74098,5.9821577
74099,14.315201
74100,9.731933
74101,10.495929
74102,9.134383
74103,10.386998
74104,9.70436
74105,8.09215
74106,11.104708
74107,9.530014
74108,5.007844
74109,8.619109
74110,5.577823
74111,10.352499
74112,6.696337
74113,8.082517
74114,10.16518
74115,8.784941
74116,9.80406
74117,12.158337
74118,10.149086
74119,8.455342
74120,15.814375
74121,9.831962
74122,6.7196608
74123,11.137893
74124,4.7205644
74125,7.159327
74126,7.002851
74127,11.460672
74128,10.407035
74129,8.84589
74130,9.846952
74131,9.986795
74132,7.469726
74133,9.416997
74134,11.394135
74135,4.0858307
74136,6.489373
74137,5.3877325
74138,16.77636
74139,10.389359
74140,14.565846
74141,8.99476
74142,10.509453
74143,14.186192
74144,13.981871
74145,10.463841
74146,7.596616
74147,9.839365
74148,5.6212955
74149,10.04712
74150,7.7930946
74151,8.412734
74152,13.539302
74153,10.771795
74154,7.825282
74155,6.344523
74156,11.485318
74157,10.709007
74158,12.958204
74159,9.658775
74160,12.896466
74161,10.026631
74162,9.305944
74163,9.539615
74164,9.204165
74165,10.005659
74166,8.76539
74167,10.293298
74168,9.920999
74169,11.554667
74170,9.849107
74171,12.110677
74172,11.127957
74173,7.3906426
74174,10.90256
74175,9.251428
74176,8.919187
74177,10.409979
74178,11.364469
74179,12.313475
74180,5.4602547
74181,8.184456
74182,9.768481
74183,7.1786323
74184,10.723711
74185,11.415949
74186,9.782598
74187,9.430132
74188,11.933795
74189,5.709984
74190,9.075559
74191,10.332004
74192,10.918348
74193,8.910729
74194,3.943927
74195,11.0220175
74196,11.875975
74197,9.947017
74198,6.664064
74199,9.575417
74200,10.790306
74201,8.670618
74202,11.502311
74203,10.595803
74204,10.461221
74205,9.577889
74206,9.204884
74207,8.662661
74208,11.3962
74209,15.534797
74210,10.334731
74211,7.190873
74212,8.531626
74213,10.205727
74214,12.605821
74215,7.9337864
74216,7.135542
74217,15.8105345
74218,10.63363
74219,7.9056225
74220,14.437676
74221,7.802421
74222,10.066194
74223,9.344571
74224,8.331994
74225,10.05034
74226,9.526105
74227,10.477998
74228,4.06159
74229,11.865525
74230,9.981557
74231,7.5930033
74232,9.996055
74233,6.335459
74234,9.863543
74235,10.925071
74236,7.9710684
74237,8.763727
74238,10.294927
74239,6.2578197
74240,7.42226
74241,7.5095086
74242,12.940517
74243,10.445851
74244,6.641827
74245,10.22476
74246,9.703001
74247,8.668883
74248,8.55979
74249,14.236362
74250,9.891129
74251,14.21923
74252,7.8609715
74253,10.868624
74254,10.684306
74255,10.031302
74256,10.348994
74257,11.676914
74258,3.745113
74259,10.840359
74260,8.125891
74261,6.74355
74262,4.350736
74263,10.531087
74264,10.375009
74265,10.656462
74266,7.986259
74267,10.746777
74268,6.5588236
74269,7.3647623
74270,8.0773
74271,11.103982
74272,16.047401
74273,6.7117815
74274,13.182861
74275,8.625162
74276,7.5560465
74277,8.406596
74278,13.741794
74279,10.593533
74280,10.868088
74281,14.310542
74282,12.308028
74283,10.5144825
74284,7.493519
74285,7.1028066
74286,10.267809
74287,10.293211
74288,11.5965395
74289,7.571503
74290,10.221618
74291,10.785664
74292,9.466117
74293,7.2523193
74294,10.03218
74295,13.1175785
74296,10.912908
74297,10.236877
74298,15.034608
74299,10.854832
74300,9.687678
74301,9.56659
74302,9.8384495
74303,9.402696
74304,11.026825
74305,9.175513
74306,8.543567
74307,7.674263
74308,10.424979
74309,9.576258
74310,16.989347
74311,7.802965
74312,12.194966
74313,10.8357315
74314,10.272695
74315,9.23937
74316,9.447447
74317,9.617332
74318,11.899589
74319,12.144286
74320,7.5866475
74321,8.463672
74322,11.420809
74323,10.7406645
74324,11.83064
74325,8.464066
74326,8.81181
74327,10.287292
74328,10.687175
74329,9.296648
74330,8.050041
74331,5.500891
74332,10.157581
74333,13.64309
74334,11.556625
74335,10.73048
74336,8.122486
74337,8.7572
74338,9.706525
74339,9.402726
74340,8.540524
74341,8.6546
74342,8.063508
74343,8.41805
74344,9.960192
74345,9.878157
74346,7.2232814
74347,12.020254
74348,9.830251
74349,8.767721
74350,10.197305
74351,11.576975
74352,12.4040365
74353,9.746688
74354,11.863737
74355,6.8784313
74356,5.9521356
74357,9.611682
74358,6.86779
74359,8.462359
74360,8.391092
74361,10.227923
74362,8.19524
74363,9.050504
74364,9.810247
74365,5.6758513
74366,5.11582
74367,7.361423
74368,8.006623
74369,8.696871
74370,11.308367
74371,10.287583
74372,10.198667
74373,9.796432
74374,8.674982
74375,7.108105
74376,10.967271
74377,9.451181
74378,13.332943
74379,11.17044
74380,9.68058
74381,8.625873
74382,11.244579
74383,7.701478
74384,9.967878
74385,9.414169
74386,13.0491495
74387,10.860058
74388,7.105587
74389,9.139917
74390,6.428342
74391,7.932797
74392,8.801709
74393,11.474657
74394,7.7897553
74395,8.965787
74396,9.372655
74397,7.1187806
74398,9.4315605
74399,11.179751
74400,12.111341
74401,8.88615
74402,8.237746
74403,9.865123
74404,6.8378687
74405,16.924633
74406,4.8225317
74407,8.791872
74408,9.795114
74409,13.1811075
74410,10.395506
74411,10.419289
74412,10.429899
74413,9.536928
74414,10.887038
74415,12.974916
74416,10.129867
74417,16.201254
74418,8.216391
74419,10.402798
74420,10.138182
74421,9.122219
74422,5.0453925
74423,9.106222
74424,7.7974477
74425,7.253392
74426,10.31677
74427,9.552483
74428,9.527135
74429,14.327846
74430,5.8408337
74431,5.342022
74432,10.250451
74433,13.387352
74434,11.513627
74435,10.491593
74436,11.887829
74437,10.05152
74438,10.287028
74439,7.672956
74440,11.068832
74441,8.908481
74442,10.8476305
74443,6.7909384
74444,8.581834
74445,10.92404
74446,13.356112
74447,8.896891
74448,4.476137
74449,6.645723
74450,9.610403
74451,14.56819
74452,10.159112
74453,5.353742
74454,9.694947
74455,8.121634
74456,10.424701
74457,7.1229672
74458,7.4186254
74459,9.718094
74460,7.633801
74461,12.836733
74462,8.356935
74463,10.383594
74464,13.066826
74465,5.2584085
74466,11.01666
74467,11.198026
74468,8.246397
74469,9.666163
74470,11.681992
74471,11.322112
74472,11.944005
74473,15.275671
74474,5.0138893
74475,11.019735
74476,9.742272
74477,9.82189
74478,9.06232
74479,13.871154
74480,9.4841
74481,7.9597034
74482,9.0298605
74483,9.1698265
74484,11.227938
74485,14.534722
74486,6.697725
74487,4.579567
74488,9.234729
74489,7.4556584
74490,6.871388
74491,9.137192
74492,6.5496078
74493,9.769053
74494,11.051812
74495,12.5466385
74496,5.6459846
74497,9.723977
74498,10.328535
74499,7.6328373
74500,9.446482
74501,9.434741
74502,10.286335
74503,9.125113
74504,11.869404
74505,9.292631
74506,9.437416
74507,9.100764
74508,6.67488
74509,14.1994295
74510,10.570625
74511,11.11469
74512,9.435291
74513,11.634958
74514,9.569359
74515,9.418448
74516,5.9509883
74517,8.085832
74518,11.119774
74519,9.656231
74520,5.5494194
74521,8.4701805
74522,9.996691
74523,9.810112
74524,8.320293
74525,7.12332
74526,7.619061
74527,9.600457
74528,9.402231
74529,8.989588
74530,9.253617
74531,9.893803
74532,8.729994
74533,9.766975
74534,6.894301
74535,11.287441
74536,5.631781
74537,7.046559
74538,10.32495
74539,8.739477
74540,8.212887
74541,9.675773
74542,10.054535
74543,9.873801
74544,10.09685
74545,9.627102
74546,15.344241
74547,10.459763
74548,14.470328
74549,7.3992105
74550,12.554247
74551,11.825092
74552,9.385167
74553,9.049192
74554,9.832158
74555,10.683388
74556,8.60833
74557,11.807825
74558,9.865985
74559,10.019506
74560,9.560296
74561,11.062394
74562,4.8646984
74563,9.578636
74564,9.874756
74565,8.5122
74566,9.062587
74567,14.450497
74568,5.4759817
74569,15.520874
74570,12.1607065
74571,3.9282384
74572,6.4888
74573,13.579738
74574,10.387067
74575,5.9603405
74576,7.569207
74577,7.8685436
74578,6.857816
74579,10.851451
74580,9.618394
74581,10.103766
74582,5.007645
74583,10.526119
74584,10.630644
74585,13.491049
74586,3.8919141
74587,6.1130686
74588,9.009323
74589,8.632979
74590,10.903752
74591,8.57387
74592,10.771665
74593,4.7538095
74594,10.10825
74595,12.821123
74596,10.646547
74597,7.604596
74598,5.157343
74599,8.955955
74600,6.2507787
74601,7.049891
74602,8.6871195
74603,5.189478
74604,11.577601
74605,5.5592985
74606,7.7599645
74607,10.509969
74608,9.184887
74609,6.4909406
74610,11.065928
74611,7.9949856
74612,11.663914
74613,9.551723
74614,8.694696
74615,10.212537
74616,6.6704745
74617,10.305437
74618,6.027859
74619,8.354391
74620,8.68726
74621,5.901628
